Title,Description,Tags,Notes,Categories,Link
Global Economic Monitor (GEM),"From the World Bank. Provides daily and monthly commentary on global economic conditions along with direct access to high frequency data that is refreshed daily. It provides analysis of current economic trends, economic, financial and commodity data indicators, an extensive database including growth and commodity forecasts.",international business,,,http://proxy-um.researchport.umd.edu/login?url=http://externalization.worldbank.org/external/default/main?contentMDK=21119307&menuPK=2880787&pagePK=64691887&piPK=64691875&theSitePK=2880771
Global Insight (IHS) DataInsight Web,"Provides coverage of U.S. and international financial, economic, and industry data, with analysis by more than 225 analysts, researchers, and economists on over 120 industries and 200 countries. Data available covers balance of payments, cyclical indicators, finance and financial markets, government finance, housing and construction, output/capacity/capacity utilization, merchandise trade, national accounts, labor market, population, prices, and wholesale and retail trade. Also available through MySmithApps.","consumer price index, economic indicators, employment, exports, imports, foreign direct investment, gdp, gross domestic product, gni, gross national income, international trade",,ECONOMICS;PRODUCT,http://proxy-um.researchport.umd.edu/login?url=http://myinsight.globalinsight.com/servlet/cats?pageContent=home&imask=1
Global Issues in Context," Portal pages organize and present full-text articles from newspapers, magazines, and academic journals, encyclopedia entries, primary resources such as podcasts and speeches, videos, maps, images, websites, and statistics.", teaching resources,,,http://proxy-um.researchport.umd.edu/login?url=http://infotrac.galegroup.com/itweb/umd_um?db=GIC
GlobalEdge,"From Michigan State University's Broad College of Business. A ""Web portal connecting international business professionals worldwide."" Contains a wealth of information on all countries, in-depth analysis of selected industries, teaching resources, etc. Free access, but registration will provide additional information.","culture, doing business in, economic indicators, exports, imports, international law, international trade, news, statistics: united states",,,http://globaledge.msu.edu/
Globalization Website,"From Emory University. Developed by sociology faculty. Use the table of contents to find news items as well as information on people, issues and organizations related to globalization.",international business,,,http://www.sociology.emory.edu/globalization/
Google Scholar,"Searches selected scholarly information across many disciplines and sources, including books, articles, theses. Use the ""FindIt@UMCP"" link to obtain full text of an article or to find out how else to access it. See also: Making Google Scholar Work for You.","management, marketing, operations management, organization theory, public relations, decision theory, economics, social entrepreneurship, technology, human resource management, industry analysis models, labor economics, labor relations, leadership",,ECONOMICS;ENTREPRENEURSHIP;INDUSTRY;MARKETING,http://proxy-um.researchport.umd.edu/login?url=http://scholar.google.com
Google Translator,"Online translation service. Translate website, abstracts, phrases, etc. from one language to another.","translations, labor economics, economic indicators",,,http://translate.google.com/
Great American Business Leaders of the Twentieth Century," From the Harvard Business School, this resources is ""an effort to identify and chronicle the lives of 20th century men and women whose business leadership shaped the ways that people live, work, and interact"". Data is available in Excel format by request.", biographical information,,,http://www.hbs.edu/leadership/database/
GuideStar,"Searchable database with information on nonprofits, including their ""mission, programs, leaders, goals, accomplishments, and needs.""","nonprofits, rankings",,,http://www2.guidestar.org/
Handbooks in Economics,"Full text of the handbooks, which primarily include survey articles by leading economics scholars. Arranged into 28 different series by broad topic. NOTE: To access volumes, click on ""full text access"" below the title, NOT on the volume number.","labor economics, economic indicators",,,http://proxy-um.researchport.umd.edu/login?url=http://www.elsevier.com/wps/find/S04.cws_home/books
Harmonized Tariff Schedule (HTF) Codes,From the United States International Trade Commission.HTS codes are 6-digit identification codes assigned to all products imported into the United States.,product codes,,PRODUCT,http://www.usitc.gov/tata/hts/bychapter/index.htm
Historical Statistics of the United States,The standard source for quantitative indicators of American history. Includes statistics from over 1000 sources.,statistics: united states,,DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://hsus.cambridge.org
Hoovers Online,"One of the leading directories for quick access to company and industry information. Provides comprehensive profiles, in-depth financials, company overviews and histories, their competitors, products, services and operations.","annual reports, biographical information, company profiles, competitors, financial information, industry classification, industry overview, industry trends, manufacturers, ownership status, sec filings, stocks, stock trades quotes",,COMPANY;FINANCE AND INVESTMENT;INDUSTRY,http://proxy-um.researchport.umd.edu/login?url=http://www.mergentonline.com/Hoovers
Human Development Report,"From the United Nations. An annual ""In depth analysis and policy recommendations on a specific and important aspect of international development"". Includes statistical factsheets on many of the world's countries.","country background, doing business in, international business, statistics: international",,COUNTRY RESEARCH;DEMOGRAPHICS AND STATISTICS,http://hdr.undp.org/en/countries/
IBIS World,"Provides industry market research reports on over 700 U.S. industries, and brief company reports on about 8000 companies as well as economic and demographic reports with focus on the U.S. economy. Also available through MySmithApps.","competitors, consumer analysis, economic indicators, industry classification, industry overview, industry trends, marketing, market share, market size",,ECONOMICS;INDUSTRY;MARKETING,http://proxy-um.researchport.umd.edu/login?url=http://www.ibisworld.com/
Idealist,"Links to nonprofit, volunteering, career, and funding resources. Includes job and internship opportunities.","associations, nonprofits, job source",,,http://www.idealist.org/
IHS Global Insight,,,,,http://smithapps.rhsmith.umd.edu/Citrix/MyApps/auth/login.aspx
Independent Sector,"Independent Sector is the leadership network for nonprofits, foundations, and corporate giving programs.Helps organizations maintain the highest standards of ethics and accountability in an new online Resource Center for Good Governance and Ethical Practice. Offers organizations hundreds of free examples of effective practice and tools, as well as other resources from around the country to guide their work. Collects data on nonprofit organizations.",nonprofits,,,http://www.independentsector.org/
Information and Communication Technologies (ICT) At-A-Glance Tables,"From the World Bank. Provides key data on information and communications technologies, with sections on economic and social context, ICT sector structure, and ICT sector performance.","statistics: international, technology",,DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://go.worldbank.org/7S1VU9WNZ0
Institute for the Study of Security Markets (ISSM) - Via WRDS - Wharton Research Data Service in MySmithApps,"Access via WRDS NYSE/AMEX/NASD Trade and Quote Database covering 1983-1992. NOTE: Access to WRDS is available by account only for Ph.D. students, faculty and faculty-sponsored class research. Request account at https://wrds.wharton.upenn.edu - Follow instructions.)","investment & securities, stock exchange",,,http://smithapps.rhsmith.umd.edu/
International Business & Technology @ Brint,," international business, doing business in",,,http://www.brint.com/International.htm
"International Business, Etiquette and Manners",," culture, doing business in",,,http://cyborlink.com/besite/
